Product Name,Processor Type,RAM,Storage,Display,Features,Price
"MSI Modern 15 A5M Ryzen 7 5700U 15.6"" FHD Laptop","Intel Core i5-1335U (up to 4.6 GHz, 12 MB L3 cache)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920x1080) ","Type-C, Wi-Fi 6, Privacy Shutter, Mic Mute Key","81,000"
"Asus VivoBook Go 15 E1504FA Ryzen 5 7520U 15.6"" FHD Laptop","Intel Core i5-1335U (up to 4.6 GHz, 12 MB L3 cache)","8GB LPDDR4x, ", 256GB SSD,"15.6"" FHD (1920x1080) ","Type-C, Wi-Fi 6, Privacy Shutter, Mic Mute Key","81,500"
MSI Modern 14 C12MO Core i5 12th Gen 14'' FHD Laptop,"Intel Core i5-1240P Processor (12M Cache, up to 4.40 GHz)","8GB DDR5, ", 512GB SSD,"14"" FHD (1920*1080)","Backlit Keyboard, Fingerprint , Type-C","81,900"
"Acer TravelMate TMP214-53 Core i7 11th Gen 14"" FHD Laptop","Intel Core i5-1235U (12M Cache, 3.3GHz, Up to 4.40 GHz)","8GB DDR5, ", 512GB SSD,"14.0"" IPS Full HD","Fingerprint, Type-C","79,500"
"HP 15-fd0204TU Core i5 13th Gen 15.6"" FHD Laptop","Intel Core i5-1235U (3.30 GHz, up to 4.40 GHz)","8GB DDR5, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Type-C, Stereo Speakers","82,500"
"HP 15-fd0205TU Core i5 13th Gen 15.6"" FHD Laptop","Intel Core i5-1335U (up to 4.6 GHz, 12 MB L3 cache)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Type-C, Stereo Speakers","82,500"
"HP 15-fd0202TU Core i5 13th Gen 15.6"" FHD Laptop","Intel Core i5-1335U (up to 4.6 GHz, 12 MB L3 cache)","8GB RAM, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Type-C, Stereo Speakers","82,500"
"Acer Extensa 14 EX214-53-543W Core i5 12th Gen 14"" FHD Laptop","Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)","8GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","Fingerprint, Type-C, Privacy Shutter, Wi-Fi 6","79,999"
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 15.6"" FHD Laptop with Windows 11","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB RAM, ", 512GB SSD,"15.6"" FHD TN (1920 x 1080) 250 nits","Backlit Keyboard, Fingerprint, Type-C","83,000"
MSI Modern 15 B12MO Core i5 12th Gen 15.6'' FHD Laptop,"Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)","8GB RAM, ", 512GB SSD,"15.6"" FHD (1920*1080)","Dolby Audio, Type-C","83,900"
"HP 15-fd0208TU Core i5 13th Gen 15.6"" FHD Laptop","Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Backlit Keyboard, Fingerprint","84,000"
"HP 15-fd0210TU Core i5 13th Gen 15.6"" FHD Laptop","Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)","8GB RAM, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Backlit keyboard, Fingerprint, Type-C","84,000"
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 15.6"" FHD Laptop Abyss Blue","Intel Core i5-1235U (10M Cache, up to 4.4 GHz)","8GB DDR4 , ", 512GB SSD,"15.6"" FHD TN (1920 x 1080)","Backlit keyboard, Fingerprint , Type-C","86,000"
"Samsung Galaxy Book Core i5 11th Gen 15.6"" FHD Laptop","AMD Ryzen 7 7730U (8-core/16-thread, 16MB cache, up to 4.5 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920 x 1080) LED","Backlit Keyboard, Type-C","86,000"
